0.146	-3.152	-3.112	-0.888
0.135	2.06	3.252	0.163
0.152	-3.894	0.87	0.57
0.149	-2.242	2.768	-0.569
0.14	-1.523	-0.946	-0.791
0.138	-0.16	1.89	-0.919
0.159	2.965	-2.543	-0.86
0.128	0.286	-0.001	-0.2
0.137	0.338	6.946	0.068
0.146	-0.715	1.014	-0.078
0.127	-1.66	0.966	-1.162
0.139	1.189	0.739	0.197
0.113	0.391	0.515	-1.012
0.136	-2.881	0.498	-0.765
0.133	-1.327	-2.216	-1.28
0.146	-0.674	4.197	-1.196
0.166	-1.668	-0.721	-0.916
0.135	-1.125	0.446	-0.235
0.137	-0.086	1.71	0.024
0.126	1.037	1.157	-0.486
0.152	-1.284	-1.832	-0.127
0.135	1.628	0.778	0.038
0.143	-2.107	0.96	0.765
0.149	1.593	0.141	-1.059
0.149	1.391	0.174	-0.568
0.149	1.727	0.558	-0.492
0.151	-0.447	-0.18	0.142
0.144	-0.066	2.025	-0.636
0.151	1.497	2.243	-1.15
0.144	-2.113	-1.288	-1.334
0.154	-0.264	-1.53	-1.062
0.147	3.27	1.684	0.837
0.161	-0.79	-0.569	-0.62
0.135	1.451	-0.7	-0.68
0.135	-1.969	-1.737	-0.639
0.139	-0.204	-0.041	-1.05
0.149	0.094	1.714	-0.762
0.141	-0.954	0.756	-1.374
0.141	0.113	-1.26	-0.148
0.145	-2.273	1.139	-1.798
0.146	-0.074	1.082	-0.401
0.153	-1.113	0.203	-0.585
0.186	1.079	-1.219	-0.956
0.148	-3.836	0.63	-1.053
0.134	-1.121	-1.865	-0.778
0.126	0.664	-2.857	-1.019
0.132	0.274	0.041	-0.641
0.138	-0.968	0.033	-0.719
0.145	-2.012	-1.041	-1.585
0.135	-1.211	1.567	-0.568
0.124	-1.35	-0.362	-0.406
0.138	-1.986	-4.423	-1.29
0.165	-0.773	-0.764	0.039
0.139	2.435	-3.635	-0.111
0.132	0.264	0.796	-1.365
0.148	0.294	-1.862	1.236
0.151	3.771	2.578	-0.038
0.135	-1.185	-1.827	-0.559
0.139	2.52	0.931	-1.234
0.144	1.568	-0.738	-1.371
0.135	-1.774	-0.837	-1.557
0.152	1.914	0.392	-0.074
0.147	-1.348	-1.08	-1.06
0.163	-1.184	0.786	-0.036
0.121	-2.493	2.784	-0.779
0.15	1.351	-0.057	-0.198
0.127	0.721	-0.82	-0.543
0.119	0.376	-0.112	0.197
0.137	1.814	2.451	0.144
0.15	0.211	0.876	-0.401
0.145	-2.068	0.602	-0.456
0.138	-0.006	-0.983	-1.816
0.145	0.738	0.928	-0.745
0.142	-0.174	-1.264	0.441
0.155	-3.373	2.093	-0.668
0.126	1.42	-2.216	0.609
0.157	2.187	-1.703	-0.909
0.175	-0.04	3.203	-0.258
0.138	-1.422	0.391	0.326
0.161	0.895	-4.205	-0.82
0.149	-1.464	0.612	-0.306
0.153	-2.041	1.782	-1.125
0.154	-5.424	-0.036	-1.24
0.139	-2.286	-2.356	0.018
0.141	-0.293	-2.715	-0.613
0.146	0.434	0.52	0.099
0.159	-2.538	-2.651	-1.247
0.145	-0.371	0.742	-0.81
0.141	2.561	1.512	0.114
0.15	4.135	4.571	0.607
0.139	-0.139	3.56	-0.494
0.141	0.302	-0.678	-0.793
0.159	1.522	-1.036	-0.444
0.142	0.832	2.433	-0.141
0.15	-2.64	-1.104	-0.274
0.147	0.926	-0.976	-0.331
0.13	0.355	0.112	-1.013
0.133	0.992	-0.421	-0.896
0.132	0.796	0.122	-0.212
0.143	-0.473	-2.167	-1.093
0.142	0.463	3.977	-0.129
0.137	2.005	0.141	-0.926
0.145	1.534	-1.58	-1.41
0.159	-1.103	-1.861	-0.577
0.137	1.148	-1.918	-0.178
0.146	2.676	2.69	-0.681
0.145	0.642	-1.537	-0.889
0.158	1.743	-1.773	-1.145
0.157	-2.013	-1.441	-1.045
0.146	0.931	0.46	-0.674
0.116	1.189	1.4	-0.03
0.146	1.926	-2.88	-1.295
0.136	-0.365	2.116	-0.63
